"run","frame","time","duration","observation","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","es","fn","bv","el","er","S"
"2","1","2026-06-08 08:39:17","00:04.4","巡线不稳","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","255","1","0","0","0","2","0","109","0","0","4095,4095,0,0,0,4095,4095"
"2","2","2026-06-08 08:39:17","00:04.4","巡线不稳","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","255","1","0","0","0","2","0","109","0","0","4095,4095,0,0,0,4095,4095"
"2","3","2026-06-08 08:39:17","00:04.4","巡线不稳","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","255","1","0","0","0","2","0","109","0","0","4095,4095,0,0,0,4095,4095"
"2","4","2026-06-08 08:39:17","00:04.4","巡线不稳","0","0","28","0","87","52","1144","1241","35","0","0","0","0","10","0","0","0","0","255","1","0","0","0","3","1","107","1","1","4095,4095,4095,0,0,4095,4095"
"2","5","2026-06-08 08:39:17","00:04.4","巡线不稳","9","13","28","70","282","20","1229","900","60","0","1","0","0","-7","0","0","0","0","255","1","0","0","0","3","1","108","10","9","4095,4095,4095,4095,4095,4095,0"
"2","6","2026-06-08 08:39:17","00:04.4","巡线不稳","40","30","28","70","20","390","867","1270","0","8","1","0","0","-18","0","0","0","0","255","1","0","0","0","3","1","108","22","19","4095,4095,4095,4095,4095,4095,4095"
"2","7","2026-06-08 08:39:17","00:04.4","巡线不稳","40","36","22","76","0","396","0","1276","0","78","1","0","0","34","0","0","0","0","255","1","0","0","0","3","1","108","31","32","4095,4095,4095,4095,4095,4095,4095"
"2","8","2026-06-08 08:39:17","00:04.4","巡线不稳","13","43","22","80","400","0","1247","0","60","51","1","0","0","46","0","0","0","0","255","1","0","0","0","3","1","108","35","43","4095,4095,4095,4095,4095,4095,4095"
"2","9","2026-06-08 08:39:17","00:04.4","巡线不稳","33","23","22","76","396","0","1243","0","60","121","1","0","0","-64","0","0","0","0","255","1","0","0","0","3","1","109","48","44","4095,4095,4095,4095,4095,4095,2730"
"2","10","2026-06-08 08:39:17","00:04.4","巡线不稳","43","0","22","84","296","0","1143","0","60","191","1","0","0","-167","0","0","0","0","255","1","0","0","0","3","1","108","62","44","4095,4095,4095,4095,4095,4095,4095"
"2","11","2026-06-08 08:39:17","00:04.4","巡线不稳","40","0","0","0","0","0","0","0","5","0","0","0","0","-222","1","0","0","1","255","1","0","0","0","3","0","109","71","44","0,0,4095,4095,4095,4095,4095"
"2","12","2026-06-08 08:39:17","00:04.4","巡线不稳","16","0","0","0","0","0","0","0","5","0","0","0","0","-222","1","0","0","1","255","1","0","0","0","3","0","109","71","44","0,1365,4095,4095,4095,4095,4095"
"2","13","2026-06-08 08:39:17","00:04.4","巡线不稳","0","0","0","0","0","0","0","0","5","0","0","0","0","-222","1","0","0","1","255","1","0","0","0","3","0","109","71","44","0,0,4095,4095,4095,4095,4095"
"2","14","2026-06-08 08:39:17","00:04.4","巡线不稳","0","0","0","0","0","0","0","0","5","0","0","0","0","-222","1","0","0","1","255","1","0","0","0","3","0","109","71","44","0,0,4095,4095,4095,4095,4095"
"2","15","2026-06-08 08:39:17","00:04.4","巡线不稳","0","0","0","0","0","0","0","0","5","0","0","0","0","-222","1","0","0","1","255",,,,,,,,,,
