run,L,R,T,out,pid_l,pid_r,sent_l,sent_r,pos,lost,deep,junc,jc,yw,u,sm,rd,sg,ar,rdir,s2,lt,rs,es,fn,bv,el,er,S0,S1,S2,S3,S4,S5,S6
2,0,0,0,0,0,0,0,0,30,0,0,0,0,48,0,0,0,0,255,1,0,0,0,2,0,110,0,0,4095,4095,0,0,0,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,48,0,0,0,0,255,1,0,0,0,2,0,109,0,0,4095,4095,0,0,0,4095,4095
2,0,0,28,0,87,52,1057,1142,35,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,108,1,1,4095,4095,4095,0,0,4095,4095
2,13,13,28,70,69,70,919,1010,30,0,0,0,0,-3,0,0,0,0,255,1,0,0,0,3,1,109,9,8,4095,4095,0,0,0,4095,4095
2,30,26,28,70,20,145,870,1085,15,0,0,0,0,-2,0,0,0,0,255,1,0,0,0,3,1,111,19,19,4095,0,0,4095,4095,4095,4095
2,33,36,28,70,32,107,882,1047,20,0,0,0,0,3,0,0,0,0,255,1,0,0,0,3,1,109,29,28,4095,0,0,0,4095,4095,4095
2,30,30,28,79,97,62,947,1002,35,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,109,38,37,4095,4095,4095,0,0,4095,4095
2,33,30,28,72,22,150,872,1090,20,0,0,0,0,-2,0,0,0,0,255,1,0,0,0,3,1,109,48,47,4095,0,0,0,4095,4095,4095
2,33,36,28,70,32,107,882,1047,20,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,109,58,57,4095,0,0,0,4095,4095,4095
2,33,30,28,74,36,111,886,1051,20,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,110,67,68,4095,0,0,0,4095,4095,4095
2,30,33,28,70,52,87,902,1027,25,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,109,77,76,4095,4095,0,0,4095,4095,4095
2,33,30,28,70,70,70,920,1010,25,0,0,1,0,-1,0,0,0,0,255,1,0,0,0,3,1,109,86,86,0,0,0,0,0,0,4095
2,30,33,28,70,20,145,870,1085,15,0,0,0,1,0,0,0,0,0,255,1,0,0,0,3,1,109,96,96,4095,0,0,4095,4095,4095,4095
2,33,33,28,70,52,87,902,1027,25,0,0,0,1,2,0,0,0,0,255,1,0,0,0,3,1,109,106,105,4095,4095,0,0,4095,4095,4095
2,33,33,28,70,52,87,902,1027,25,0,0,0,1,-1,0,0,0,0,255,1,0,0,0,3,1,108,116,116,4095,4095,0,0,4095,4095,4095
2,36,33,28,70,32,107,882,1047,20,0,0,0,1,-2,0,0,0,0,255,1,0,0,0,3,1,109,126,126,4095,0,0,0,4095,4095,4095
2,30,33,28,73,23,148,873,1088,15,0,0,0,1,1,0,0,0,0,255,1,0,0,0,3,1,108,137,136,4095,0,0,4095,4095,4095,4095
2,36,33,28,70,52,87,902,1027,25,0,0,0,1,1,0,0,0,0,255,1,0,0,0,3,1,109,146,147,4095,4095,0,0,4095,4095,4095
2,33,36,28,70,47,92,897,1032,25,0,0,0,1,-2,0,0,0,0,255,1,0,0,0,3,1,109,157,156,4095,4095,0,0,4095,4095,4095
2,33,30,22,72,20,392,790,1192,0,32,1,0,1,8,0,0,0,0,255,1,0,0,0,3,1,108,166,166,4095,4095,4095,4095,4095,4095,4095
2,26,33,22,70,0,390,0,1190,0,102,1,0,1,81,0,0,0,0,255,1,0,0,0,3,1,109,170,177,4095,4095,4095,4095,4095,4095,4095
2,3,36,22,85,405,20,1275,820,60,31,1,0,1,92,0,0,0,0,255,1,0,0,0,3,1,109,174,186,4095,4095,4095,4095,4095,4095,4095
2,29,23,28,70,20,390,790,1190,0,2,1,0,1,63,0,0,0,0,255,1,0,0,0,3,1,109,186,193,4095,4095,4095,4095,4095,4095,4095
2,37,33,22,70,0,390,0,1190,0,72,1,0,1,115,0,0,0,0,255,1,0,0,0,3,1,109,194,205,4095,4095,4095,4095,4095,4095,4095
2,13,40,0,0,0,0,0,0,0,0,0,0,1,179,1,0,0,1,255,1,0,0,0,3,0,109,194,216,4095,4095,4095,4095,4095,4095,4095
2,0,20,0,0,0,0,0,0,0,0,0,0,1,179,1,0,0,1,255,1,0,0,0,3,0,111,194,216,4095,4095,4095,4095,4095,4095,4095
2,0,0,0,0,0,0,0,0,0,0,0,0,1,179,1,0,0,1,255,1,0,0,0,3,0,109,194,216,4095,4095,4095,4095,4095,4095,4095
2,0,0,0,0,0,0,0,0,0,0,0,0,1,179,1,0,0,1,255,1,0,0,0,3,0,110,194,216,4095,4095,4095,4095,4095,4095,4095
2,0,0,0,0,0,0,0,0,0,0,0,0,1,179,1,0,0,1,255,1,0,0,0,3,0,109,194,216,4095,4095,4095,4095,4095,4095,4095
2,0,0,0,0,0,0,0,0,0,0,0,0,1,179,1,0,0,1,255,1,0,0,0,3,0,110,194,216,4095,4095,4095,4095,4095,4095,4095
