run,L,R,T,out,pid_l,pid_r,sent_l,sent_r,pos,lost,deep,junc,jc,yw,u,sm,rd,sg,ar,rdir,s2,lt,rs,es,fn,bv,el,er,S0,S1,S2,S3,S4,S5,S6
2,33,33,28,70,69,70,919,1010,30,0,0,0,0,-2,0,0,0,0,255,1,0,0,0,3,1,109,85,84,4095,4095,0,0,0,4095,4095
2,33,33,28,70,20,145,870,1085,15,0,0,0,0,-1,0,0,0,0,255,1,0,0,0,3,1,109,95,93,4095,0,0,4095,4095,4095,4095
2,33,30,28,70,52,87,902,1027,25,0,0,0,0,3,0,0,0,0,255,1,0,0,0,3,1,109,104,103,4095,4095,0,0,4095,4095,4095
2,30,33,28,70,87,52,937,992,35,0,0,0,0,-1,0,0,0,0,255,1,0,0,0,3,1,109,114,112,4095,4095,4095,0,0,4095,4095
2,33,30,28,70,32,107,882,1047,20,0,0,0,0,-3,0,0,0,0,255,1,0,0,0,3,1,109,124,122,4095,0,0,1365,4095,4095,4095
2,33,36,28,70,20,145,870,1085,15,0,0,0,0,2,0,0,0,0,255,1,0,0,0,3,1,109,134,132,4095,0,0,4095,4095,4095,4095
2,33,33,28,71,72,69,922,1009,30,0,0,0,0,2,0,0,0,0,255,1,0,0,0,3,1,108,144,143,4095,4095,0,0,0,4095,4095
2,33,33,28,70,52,87,902,1027,25,0,0,0,0,-1,0,0,0,0,255,1,0,0,0,3,1,109,153,152,4095,4095,0,0,4095,4095,4095
2,30,30,28,72,20,285,790,1085,5,0,1,0,0,2,0,0,0,0,255,1,0,0,0,3,1,109,163,161,0,0,4095,4095,4095,4095,4095
2,33,30,22,70,0,192,0,992,5,69,1,0,0,43,0,0,0,0,255,1,0,0,0,3,1,108,169,171,4095,4095,4095,4095,4095,4095,4095
2,6,30,28,81,0,234,0,1034,60,0,1,0,0,107,0,0,0,0,255,1,0,0,0,3,1,109,169,178,4095,4095,4095,4095,4095,4095,0
2,0,23,22,103,225,0,1095,0,60,69,1,0,0,117,0,0,0,0,255,1,0,0,0,3,1,108,173,183,4095,4095,4095,4095,4095,4095,4095
2,33,6,22,80,233,0,1003,0,60,139,1,0,0,116,0,0,0,0,255,1,0,0,0,3,1,108,186,183,4095,4095,4095,4095,4095,4095,4095
2,40,0,22,88,241,0,1011,0,60,209,1,0,0,116,0,0,0,0,255,1,0,0,0,3,1,109,197,183,4095,4095,4095,4095,4095,4095,4095
2,36,0,22,92,245,0,1015,0,60,279,1,0,0,115,0,0,0,0,255,1,0,0,0,3,1,109,208,183,4095,4095,4095,4095,4095,4095,4095
2,36,0,22,93,246,0,1016,0,60,349,1,0,0,114,0,0,0,0,255,1,0,0,0,3,1,108,220,183,4095,4095,4095,4095,4095,4095,4095
2,40,0,0,0,0,0,0,0,60,0,0,0,0,114,0,0,0,0,255,1,0,0,0,3,0,110,228,183,4095,4095,4095,4095,4095,4095,4095
2,10,0,0,0,0,0,0,0,60,0,0,0,0,114,0,0,0,0,255,1,0,0,0,3,0,110,228,183,4095,4095,4095,4095,4095,4095,4095
2,0,0,0,0,0,0,0,0,60,0,0,0,0,114,0,0,0,0,255,1,0,0,0,3,0,110,228,183,4095,4095,4095,4095,4095,4095,4095
2,0,0,0,0,0,0,0,0,60,0,0,0,0,114,0,0,0,0,255,1,0,0,0,3,0,109,228,183,4095,4095,4095,4095,4095,4095,4095
2,0,0,0,0,0,0,0,0,60,0,0,0,0,114,0,0,0,0,255,1,0,0,0,3,0,110,228,183,4095,4095,4095,4095,4095,4095,4095
2,0,0,0,0,0,0,0,0,30,0,0,0,0,114,0,0,0,0,255,1,0,0,0,3,0,109,228,183,4095,4095,4095,0,4095,4095,4095
2,0,0,0,0,0,0,0,0,25,0,0,0,0,99,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,4095,0,0,4095,4095,0
2,0,0,0,0,0,0,0,0,25,0,0,1,0,81,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,0,0,0,0,4095,0
2,0,0,0,0,0,0,0,0,25,0,0,0,0,59,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,25,0,0,1,0,39,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,0,0,0,0,4095,0
2,0,0,0,0,0,0,0,0,25,0,0,0,0,35,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,25,0,0,0,0,38,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,25,0,0,0,0,43,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,25,0,0,1,0,33,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,0,0,0,0,0,4095
2,0,0,0,0,0,0,0,0,25,0,0,1,0,19,0,0,0,0,255,1,0,0,0,3,0,109,228,183,0,0,0,0,0,0,4095
2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,0,110,228,183,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,25,0,0,0,0,-22,0,0,0,0,255,1,0,0,0,3,0,110,228,183,0,0,0,0,0,0,0
