"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","bv","el","er","S"
"05:48:28.626","0","0","0","0","0","0","0","0","60","0","0","0","0","-121","0","0","0","0","255","1","0","0","0","109","1","55","4095,4095,4095,4095,4095,4095,0"
"05:48:28.926","3","0","0","0","0","0","0","0","55","0","0","0","0","-116","0","0","0","0","255","1","0","0","0","109","1","55","1365,2730,4095,1365,4095,1365,0"
"05:48:29.224","0","0","0","0","0","0","0","0","55","0","0","0","0","-88","0","0","0","0","255","1","0","0","0","110","1","55","0,0,0,0,0,0,0"
"05:48:29.526","0","0","0","0","0","0","0","0","55","0","0","0","0","-61","0","0","0","0","255","1","0","0","0","109","1","55","0,0,0,0,0,0,0"
"05:48:29.824","0","0","0","0","0","0","0","0","55","0","0","0","0","-34","0","0","0","0","255","1","0","0","0","110","1","55","0,0,0,0,0,0,0"
"05:48:30.125","0","0","0","0","0","0","0","0","55","0","0","0","0","-19","0","0","0","0","255","1","0","0","0","109","1","55","0,0,0,0,0,0,0"
"05:48:30.426","0","0","0","0","0","0","0","0","55","0","0","0","0","-8","0","0","0","0","255","1","0","0","0","109","1","55","0,0,0,0,0,0,0"
"05:48:30.726","0","0","0","0","0","0","0","0","55","0","0","0","0","-14","0","0","0","0","255","1","0","0","0","108","1","55","0,0,0,0,0,0,0"
"05:48:31.025","0","0","0","0","0","0","0","0","55","0","0","0","0","-18","0","0","0","0","255","1","0","0","0","109","1","55","0,0,0,0,0,0,0"
"05:48:31.320","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0","0","0","0","255","1","0","0","0","110","1","55","0,0,0,0,0,0,0"
"05:48:31.627","0","0","0","0","0","0","0","0","20","0","0","0","0","-6","0","0","0","0","255","1","0","0","0","110","1","55","4095,0,0,0,4095,4095,4095"
"05:48:31.925","-9","0","0","0","0","0","0","0","20","0","0","0","0","-6","0","0","0","0","255","1","0","0","0","109","-3","55","4095,0,0,0,4095,4095,4095"
"05:48:32.227","-3","0","0","0","0","0","0","0","20","0","0","0","0","-6","0","0","0","0","255","1","0","0","0","109","-3","55","4095,0,0,0,4095,4095,4095"
"05:48:32.525","0","0","0","0","0","0","0","0","20","0","0","0","0","-6","0","0","0","0","255","1","0","0","0","109","-3","55","4095,0,0,0,4095,4095,4095"
"05:48:32.826","0","0","0","0","0","0","0","0","20","0","0","0","0","-6","0","0","0","0","255","1","0","0","0","110","-3","55","4095,0,0,0,4095,4095,4095"
"05:48:33.125","0","0","0","0","0","0","0","0","20","0","0","0","0","-6","0","0","0","0","255","1","0","0","0","109","-3","55","4095,0,0,0,4095,4095,4095"
"05:48:33.425","0","0","0","0","0","0","0","0","20","0","0","0","0","-6","0","0","0","0","255","1","0","0","0","109","-3","55","4095,0,0,0,4095,4095,4095"
"05:49:21.064","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,0,4095,4095"
"05:49:21.359","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","108","0","0","4095,4095,1365,0,0,4095,4095"
"05:49:21.659","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"05:49:21.958","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","108","0","0","4095,4095,1365,0,0,4095,4095"
"05:49:22.265","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"05:49:22.560","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,1365,0,1365,4095,4095"
"05:49:22.859","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,0,4095,4095"
"05:49:23.164","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","110","0","0","4095,4095,1365,0,0,4095,4095"
"05:49:23.465","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","110","0","0","4095,4095,1365,0,0,4095,4095"
"05:49:24.060","0","0","0","0","0","0","0","0","30","0","0","0","0","1","0","0","0","0","255","1","0","0","0","111","0","0","4095,4095,2730,0,2730,4095,4095"
"05:49:24.360","0","0","28","0","20","147","990","1237","15","0","0","0","0","-19","0","0","0","0","255","1","0","0","0","109","-1","0","2730,0,0,4095,4095,4095,4095"
"05:49:24.668","0","6","22","70","20","130","990","1220","15","70","0","0","0","-33","0","0","0","0","255","1","0","0","0","109","0","6","4095,4095,4095,4095,4095,4095,4095"
"05:49:24.959","0","23","22","70","20","145","990","1025","15","140","0","0","0","-49","0","0","0","0","255","1","0","0","0","108","-1","15","4095,4095,4095,4095,4095,4095,4095"
"05:49:25.257","0","33","22","74","24","149","1102","1029","15","210","0","0","0","-78","0","0","0","0","255","1","0","0","0","110","-1","23","4095,4095,4095,4095,4095,4095,4095"
"05:49:25.567","-3","20","28","92","20","304","890","1104","0","0","1","0","0","-108","0","0","0","0","255","1","0","0","0","109","0","29","1365,4095,4095,4095,4095,4095,4095"
"05:49:25.866","3","23","22","97","20","417","890","1217","0","69","1","0","0","-100","0","0","0","0","255","1","0","0","0","109","-1","37","4095,4095,4095,4095,4095,4095,4095"
"05:49:26.168","0","30","22","90","20","302","890","1102","0","139","1","0","0","-98","0","0","0","0","255","1","0","0","0","109","-1","47","4095,4095,4095,4095,4095,4095,4095"
"05:49:26.452","-3","33","28","97","20","310","890","1110","0","0","1","0","0","-102","0","0","0","0","255","1","0","0","0","110","0","51","0,4095,4095,4095,4095,4095,0"
"05:49:26.766","3","0","28","140","20","353","890","1253","0","0","1","0","0","-102","0","0","0","0","255","1","0","0","0","109","0","51","0,4095,4095,4095,4095,4095,0"
"05:49:27.056","0","0","28","146","20","358","890","1258","0","0","1","0","0","-102","0","0","0","0","255","1","0","0","0","110","0","51","0,4095,4095,4095,4095,4095,0"
"05:49:27.365","0","0","28","161","20","374","890","1274","0","0","1","0","0","-102","0","0","0","0","255","1","0","0","0","109","0","51","0,4095,4095,4095,4095,4095,0"
"05:49:27.662","0","0","0","0","0","0","0","0","0","0","0","0","0","-103","0","0","0","0","255","1","0","0","0","109","0","51","0,4095,4095,4095,4095,4095,0"
"05:49:27.961","0","0","0","0","0","0","0","0","5","0","0","0","0","-103","0","0","0","0","255","1","0","0","0","109","0","51","0,1365,4095,1365,4095,1365,0"
"05:49:28.268","0","0","0","0","0","0","0","0","5","0","0","0","0","-103","0","0","0","0","255","1","0","0","0","110","0","51","0,0,4095,0,2730,1365,0"
"05:49:28.567","0","0","0","0","0","0","0","0","5","0","0","0","0","-103","0","0","0","0","255","1","0","0","0","108","0","51","0,1365,4095,1365,4095,2730,1365"
"05:49:28.866","0","0","0","0","0","0","0","0","0","0","0","0","0","-103","0","0","0","0","255","1","0","0","0","109","0","51","2730,2730,4095,4095,4095,4095,2730"
"05:49:29.160","0","0","0","0","0","0","0","0","10","0","0","0","0","-103","0","0","0","0","255","1","0","0","0","110","0","51","4095,0,4095,4095,4095,4095,1365"
"05:49:29.466","0","0","0","0","0","0","0","0","60","0","0","0","0","-104","0","0","0","0","255","1","0","0","0","109","0","51","4095,0,4095,4095,4095,4095,0"
"05:49:29.768","0","0","0","0","0","0","0","0","55","0","0","0","0","-107","0","0","0","0","255","1","0","0","0","109","0","51","4095,2730,4095,1365,4095,1365,0"
